St,Spy,Spx,Sny,Snx,Et,Epy,Epx,Eny,Enx,Supply Vent Facing Direction,Exhaust Vent Facing Direction,Supply Vent Flow Speed,Exhaust Vent Flow Speed,x Distance Between Vents,y Distance Between Vents,Vertical Distance Between Vents,Wind Speed,Fire Size,Wind Angle,Vis,EC,Recirculation
0,0,0,0,1,0,0,0,1,0,Nx,Ny,5,-8,6.5,6,2.5,-2.2,11.8,224.2154414,30,0.029676694,0
1,0,0,0,0,0,0,1,0,0,Top,Px,0,-6.1,2,6,2,-1.2,3.1,260.573679,30,0.010154701,0
0,0,0,0,1,1,0,0,0,0,Nx,Top,6.2,-3.2,5.5,6,-2,-2.4,3,233.641711,26.42082396,0.102753013,1
1,0,0,0,0,0,0,0,1,0,Top,Ny,-2.9,-4.1,4,6.5,2,-1.2,11.8,231.1208633,30,2.70609E-17,0
0,0,0,0,1,0,0,0,0,1,Nx,Nx,7.4,-5.5,0.5,8,5,-2.2,15.1,262.2737989,30,0.013370188,0
1,0,0,0,0,0,1,0,0,0,Top,Py,-5.2,-6.5,1,8,-1.5,-2.9,2.6,256.7749494,30,1.64063E-24,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,8.2,-7.2,2,5,1,-2.9,7.4,248.0128427,2.682979296,1.292883449,1
0,0,1,0,0,0,1,0,0,0,Px,Py,7.4,-9.2,2,6,0,-3,9.3,245.2617748,29.99998511,0.041330807,0
0,0,0,0,1,0,1,0,0,0,Nx,Py,5.7,-5.5,4.5,7.5,4.5,-2.9,4.6,247.49284,27.34553425,0.103803524,1
0,0,0,0,1,0,1,0,0,0,Nx,Py,5.5,-7.7,3.5,7,-3,-2.3,6.1,251.1911368,20.75192679,0.150607783,1
0,1,0,0,0,0,0,0,1,0,Py,Ny,8.2,-6.4,6.5,8,2,-2.2,4.1,245.0053921,30,0.013675788,0
1,0,0,0,0,0,0,0,0,1,Top,Nx,-3.7,-8.9,3,6.5,5,-3.1,4.2,231.7357053,30,1.42552E-21,0
0,0,1,0,0,0,0,0,1,0,Px,Ny,4.3,-5.3,1,5,-1.5,-3.4,14.2,246.8985006,2.263868246,1.429702281,1
0,0,0,0,1,0,1,0,0,0,Nx,Py,6.7,-9.8,3,5.5,-2.5,-3.4,10.5,248.8326657,16.07776002,0.205742436,1
0,1,0,0,0,1,0,0,0,0,Py,Top,9,-2.4,5,6.5,4,-1.2,14.8,233.8122026,30,0.002674515,0
1,0,0,0,0,0,1,0,0,0,Top,Py,-1.4,-6.4,7,8,-1,-3.5,5.2,230.3309422,30,4.91868E-23,0
0,0,0,1,0,0,0,0,1,0,Ny,Ny,5.1,-5.9,2.5,7.5,3.5,-2.3,9.9,236.6583192,27.88476978,0.077021133,1
0,1,0,0,0,0,0,0,0,1,Py,Nx,6.7,-6.8,1,6,-1.5,-1.1,5.5,248.6197944,22.15687629,0.154956648,1
0,0,1,0,0,0,1,0,0,0,Px,Py,7.1,-7.5,3,5.5,1.5,-2.3,15.3,241.3738103,30,0.013955157,0
0,0,1,0,0,0,0,1,0,0,Px,Px,4.1,-5.9,1.5,7.5,-1.5,-2.9,9.9,268.6143716,29.99558135,0.031696818,0
1,0,0,0,0,0,0,0,0,1,Top,Nx,-4,-7.2,2,5.5,2.5,-1.3,10.7,263.7066062,30,1.11417E-20,0
0,0,0,1,0,0,0,1,0,0,Ny,Px,7.3,-7.3,0,7,2.5,-2,9.1,269.2503353,30,0.002615985,0
0,0,0,1,0,0,0,1,0,0,Ny,Px,8.5,-9.1,2.5,7,0,-1.5,7.8,248.3396702,30,0.03992186,0
1,0,0,0,0,0,1,0,0,0,Top,Py,-1.5,-8.1,5,7.5,-3,-3.1,8.8,250.7182507,30,5.40518E-28,0
0,0,1,0,0,0,0,0,1,0,Px,Ny,4.4,-8.8,5.5,8,3.5,-1.2,3.4,224.6135654,29.98156471,0.025746466,0
0,0,1,0,0,0,1,0,0,0,Px,Py,6.1,-9.9,3.5,7.5,5,-3,12.9,238.7744478,30,0.041772994,0
1,0,0,0,0,0,1,0,0,0,Top,Py,-1.1,-8.3,1.5,7,0.5,-1.6,11.7,268.5678657,30,1.64266E-20,0
1,0,0,0,0,1,0,0,0,0,Top,Top,-5.3,-0.8,3.5,5,5,-2.5,2.5,224.9747085,30,1.19911E-19,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,8.3,-6.2,6,7,4,-2.2,2.2,240.0271689,30,0.01061361,0
0,0,0,0,1,0,0,0,0,1,Nx,Nx,9.6,-8.1,4.5,7.5,0.5,-3.2,10.9,245.5946254,23.6392135,0.127357089,1
0,0,1,0,0,0,0,1,0,0,Px,Px,9.8,-7,1.5,7.5,-3.5,-2.7,6,266.2642798,30,0.014856769,0
0,0,0,1,0,0,0,0,0,1,Ny,Nx,6.7,-7,3,6,-1.5,-1.4,15.8,250.2753106,30,0.023371459,0
